"cnty_fips","display_name","Value","theme_range"
53041,"""Lewis, (WA)""",469.1,"427.3 - 473.8 (643)"
53045,"""Mason, (WA)""",391.6,"378.1 - 427.2 (645)"
53047,"""Okanogan, (WA)""",375.4,"93.8 - 378.0 (645)"
53049,"""Pacific, (WA)""",502.7,"473.9 - 541.2 (647)"
53053,"""Pierce, (WA)""",444.2,"427.3 - 473.8 (643)"
53055,"""San Juan, (WA)""",239.9,"93.8 - 378.0 (645)"
53057,"""Skagit, (WA)""",360.1,"93.8 - 378.0 (645)"
53059,"""Skamania, (WA)""",351.7,"93.8 - 378.0 (645)"
53061,"""Snohomish, (WA)""",349.9,"93.8 - 378.0 (645)"
53067,"""Thurston, (WA)""",352.2,"93.8 - 378.0 (645)"
53069,"""Wahkiakum, (WA)""",434.5,"427.3 - 473.8 (643)"
53073,"""Whatcom, (WA)""",336.2,"93.8 - 378.0 (645)"
53077,"""Yakima, (WA)""",459.6,"427.3 - 473.8 (643)"
04001,"""Apache, (AZ)""",375,"93.8 - 378.0 (645)"
04003,"""Cochise, (AZ)""",400.6,"378.1 - 427.2 (645)"
04005,"""Coconino, (AZ)""",331.1,"93.8 - 378.0 (645)"
04007,"""Gila, (AZ)""",420.1,"378.1 - 427.2 (645)"
04009,"""Graham, (AZ)""",405.5,"378.1 - 427.2 (645)"
04011,"""Greenlee, (AZ)""",399.3,"378.1 - 427.2 (645)"
04012,"""La Paz, (AZ)""",425.9,"378.1 - 427.2 (645)"
04013,"""Maricopa, (AZ)""",351.7,"93.8 - 378.0 (645)"
04015,"""Mohave, (AZ)""",536.4,"473.9 - 541.2 (647)"
04017,"""Navajo, (AZ)""",368.9,"93.8 - 378.0 (645)"
04019,"""Pima, (AZ)""",362.1,"93.8 - 378.0 (645)"
04021,"""Pinal, (AZ)""",315.5,"93.8 - 378.0 (645)"
04023,"""Santa Cruz, (AZ)""",332.3,"93.8 - 378.0 (645)"
04025,"""Yavapai, (AZ)""",358.7,"93.8 - 378.0 (645)"
04027,"""Yuma, (AZ)""",344.2,"93.8 - 378.0 (645)"
06003,"""Alpine, (CA)""",528.8,"473.9 - 541.2 (647)"
06019,"""Fresno, (CA)""",464.1,"427.3 - 473.8 (643)"
06025,"""Imperial, (CA)""",367.4,"93.8 - 378.0 (645)"
06027,"""Inyo, (CA)""",453.2,"427.3 - 473.8 (643)"
06029,"""Kern, (CA)""",486.1,"473.9 - 541.2 (647)"
06037,"""Los Angeles, (CA)""",392,"378.1 - 427.2 (645)"
06039,"""Madera, (CA)""",406.2,"378.1 - 427.2 (645)"
06051,"""Mono, (CA)""",283.2,"93.8 - 378.0 (645)"
06059,"""Orange, (CA)""",354.9,"93.8 - 378.0 (645)"
06065,"""Riverside, (CA)""",437.6,"427.3 - 473.8 (643)"
06071,"""San Bernardino, (CA)""",484.8,"473.9 - 541.2 (647)"
06073,"""San Diego, (CA)""",360,"93.8 - 378.0 (645)"
06107,"""Tulare, (CA)""",504.9,"473.9 - 541.2 (647)"
06111,"""Ventura, (CA)""",363.6,"93.8 - 378.0 (645)"
08007,"""Archuleta, (CO)""",353.6,"93.8 - 378.0 (645)"
08029,"""Delta, (CO)""",434,"427.3 - 473.8 (643)"
08033,"""Dolores, (CO)""",318.9,"93.8 - 378.0 (645)"
08045,"""Garfield, (CO)""",297.6,"93.8 - 378.0 (645)"
08051,"""Gunnison, (CO)""",253.7,"93.8 - 378.0 (645)"
08053,"""Hinsdale, (CO)""",320.2,"93.8 - 378.0 (645)"
08067,"""La Plata, (CO)""",353.2,"93.8 - 378.0 (645)"
08077,"""Mesa, (CO)""",425.4,"378.1 - 427.2 (645)"
08079,"""Mineral, (CO)""",345.5,"93.8 - 378.0 (645)"
08081,"""Moffat, (CO)""",342,"93.8 - 378.0 (645)"
08083,"""Montezuma, (CO)""",360.2,"93.8 - 378.0 (645)"
08085,"""Montrose, (CO)""",360.6,"93.8 - 378.0 (645)"
08091,"""Ouray, (CO)""",208.4,"93.8 - 378.0 (645)"
08097,"""Pitkin, (CO)""",124.5,"93.8 - 378.0 (645)"
08103,"""Rio Blanco, (CO)""",317,"93.8 - 378.0 (645)"
08107,"""Routt, (CO)""",218,"93.8 - 378.0 (645)"
08111,"""San Juan, (CO)""",287.3,"93.8 - 378.0 (645)"
08113,"""San Miguel, (CO)""",93.8,"93.8 - 378.0 (645)"
16001,"""Ada, (ID)""",375.5,"93.8 - 378.0 (645)"
16005,"""Bannock, (ID)""",490.8,"473.9 - 541.2 (647)"
16007,"""Bear Lake, (ID)""",372.3,"93.8 - 378.0 (645)"
16011,"""Bingham, (ID)""",475.7,"473.9 - 541.2 (647)"
16013,"""Blaine, (ID)""",231,"93.8 - 378.0 (645)"
16015,"""Boise, (ID)""",332.1,"93.8 - 378.0 (645)"
16019,"""Bonneville, (ID)""",459.2,"427.3 - 473.8 (643)"
16023,"""Butte, (ID)""",427.7,"427.3 - 473.8 (643)"
16025,"""Camas, (ID)""",319.8,"93.8 - 378.0 (645)"
16027,"""Canyon, (ID)""",448.3,"427.3 - 473.8 (643)"
16029,"""Caribou, (ID)""",460.6,"427.3 - 473.8 (643)"
16031,"""Cassia, (ID)""",421.9,"378.1 - 427.2 (645)"
16033,"""Clark, (ID)""",386.4,"378.1 - 427.2 (645)"
16037,"""Custer, (ID)""",300.9,"93.8 - 378.0 (645)"
16039,"""Elmore, (ID)""",397.4,"378.1 - 427.2 (645)"
16041,"""Franklin, (ID)""",387.1,"378.1 - 427.2 (645)"
16043,"""Fremont, (ID)""",438.2,"427.3 - 473.8 (643)"
16045,"""Gem, (ID)""",431.1,"427.3 - 473.8 (643)"
16047,"""Gooding, (ID)""",398.4,"378.1 - 427.2 (645)"
16051,"""Jefferson, (ID)""",460,"427.3 - 473.8 (643)"
16053,"""Jerome, (ID)""",398.9,"378.1 - 427.2 (645)"
16063,"""Lincoln, (ID)""",356.9,"93.8 - 378.0 (645)"
16065,"""Madison, (ID)""",493.2,"473.9 - 541.2 (647)"
16067,"""Minidoka, (ID)""",384.7,"378.1 - 427.2 (645)"
16071,"""Oneida, (ID)""",440.7,"427.3 - 473.8 (643)"
16073,"""Owyhee, (ID)""",397.5,"378.1 - 427.2 (645)"
16075,"""Payette, (ID)""",450.1,"427.3 - 473.8 (643)"
16077,"""Power, (ID)""",358.9,"93.8 - 378.0 (645)"
16081,"""Teton, (ID)""",332.6,"93.8 - 378.0 (645)"
16083,"""Twin Falls, (ID)""",396.8,"378.1 - 427.2 (645)"
16087,"""Washington, (ID)""",413.9,"378.1 - 427.2 (645)"
32001,"""Churchill, (NV)""",507.9,"473.9 - 541.2 (647)"
32003,"""Clark, (NV)""",492.3,"473.9 - 541.2 (647)"
32005,"""Douglas, (NV)""",334.4,"93.8 - 378.0 (645)"
32007,"""Elko, (NV)""",383.3,"378.1 - 427.2 (645)"
32009,"""Esmeralda, (NV)""",377,"93.8 - 378.0 (645)"
32011,"""Eureka, (NV)""",472.8,"427.3 - 473.8 (643)"
32013,"""Humboldt, (NV)""",466,"427.3 - 473.8 (643)"
32015,"""Lander, (NV)""",476.9,"473.9 - 541.2 (647)"
32017,"""Lincoln, (NV)""",433.5,"427.3 - 473.8 (643)"
32019,"""Lyon, (NV)""",495.1,"473.9 - 541.2 (647)"
32021,"""Mineral, (NV)""",492.1,"473.9 - 541.2 (647)"
32023,"""Nye, (NV)""",575.7,"541.3 - 1028.0 (641)"
32027,"""Pershing, (NV)""",486.3,"473.9 - 541.2 (647)"
32029,"""Storey, (NV)""",467.4,"427.3 - 473.8 (643)"
32031,"""Washoe, (NV)""",487.4,"473.9 - 541.2 (647)"
32033,"""White Pine, (NV)""",413.5,"378.1 - 427.2 (645)"
32510,"""Carson City, (NV)""",510.7,"473.9 - 541.2 (647)"
35003,"""Catron, (NM)""",384.6,"378.1 - 427.2 (645)"
35006,"""Cibola, (NM)""",379.4,"378.1 - 427.2 (645)"
35013,"""Do̱a Ana, (NM)""",347.3,"93.8 - 378.0 (645)"
35017,"""Grant, (NM)""",365.9,"93.8 - 378.0 (645)"
35023,"""Hidalgo, (NM)""",426.3,"378.1 - 427.2 (645)"
35029,"""Luna, (NM)""",473.8,"427.3 - 473.8 (643)"
35031,"""McKinley, (NM)""",362.4,"93.8 - 378.0 (645)"
35043,"""Sandoval, (NM)""",349.4,"93.8 - 378.0 (645)"
35045,"""San Juan, (NM)""",354.9,"93.8 - 378.0 (645)"
35051,"""Sierra, (NM)""",521,"473.9 - 541.2 (647)"
35053,"""Socorro, (NM)""",438,"427.3 - 473.8 (643)"
35061,"""Valencia, (NM)""",383.3,"378.1 - 427.2 (645)"
41023,"""Grant, (OR)""",383.1,"378.1 - 427.2 (645)"
41025,"""Harney, (OR)""",416.8,"378.1 - 427.2 (645)"
41045,"""Malheur, (OR)""",452.7,"427.3 - 473.8 (643)"
49001,"""Beaver, (UT)""",458.3,"427.3 - 473.8 (643)"
49003,"""Box Elder, (UT)""",461.5,"427.3 - 473.8 (643)"
49005,"""Cache, (UT)""",373.7,"93.8 - 378.0 (645)"
49007,"""Carbon, (UT)""",471.3,"427.3 - 473.8 (643)"
49009,"""Daggett, (UT)""",347.4,"93.8 - 378.0 (645)"
49011,"""Davis, (UT)""",405.9,"378.1 - 427.2 (645)"
49013,"""Duchesne, (UT)""",392.3,"378.1 - 427.2 (645)"
49015,"""Emery, (UT)""",510.3,"473.9 - 541.2 (647)"
49017,"""Garfield, (UT)""",411.5,"378.1 - 427.2 (645)"
49019,"""Grand, (UT)""",344.4,"93.8 - 378.0 (645)"
49021,"""Iron, (UT)""",340.9,"93.8 - 378.0 (645)"
49023,"""Juab, (UT)""",386.6,"378.1 - 427.2 (645)"
49025,"""Kane, (UT)""",401,"378.1 - 427.2 (645)"
49027,"""Millard, (UT)""",363.8,"93.8 - 378.0 (645)"
49029,"""Morgan, (UT)""",396.2,"378.1 - 427.2 (645)"
49031,"""Piute, (UT)""",460.1,"427.3 - 473.8 (643)"
49033,"""Rich, (UT)""",367.9,"93.8 - 378.0 (645)"
49035,"""Salt Lake, (UT)""",384,"378.1 - 427.2 (645)"
49037,"""San Juan, (UT)""",315.5,"93.8 - 378.0 (645)"
49039,"""Sanpete, (UT)""",381,"378.1 - 427.2 (645)"
49041,"""Sevier, (UT)""",431,"427.3 - 473.8 (643)"
49043,"""Summit, (UT)""",319.8,"93.8 - 378.0 (645)"
49045,"""Tooele, (UT)""",382.6,"378.1 - 427.2 (645)"
49047,"""Uintah, (UT)""",419.6,"378.1 - 427.2 (645)"
49049,"""Utah, (UT)""",390.8,"378.1 - 427.2 (645)"
49051,"""Wasatch, (UT)""",382.9,"378.1 - 427.2 (645)"
49053,"""Washington, (UT)""",294.5,"93.8 - 378.0 (645)"
49055,"""Wayne, (UT)""",409.3,"378.1 - 427.2 (645)"
49057,"""Weber, (UT)""",430.8,"427.3 - 473.8 (643)"
56003,"""Big Horn, (WY)""",452.5,"427.3 - 473.8 (643)"
56007,"""Carbon, (WY)""",410.3,"378.1 - 427.2 (645)"
56013,"""Fremont, (WY)""",403.1,"378.1 - 427.2 (645)"
56017,"""Hot Springs, (WY)""",399.8,"378.1 - 427.2 (645)"
56023,"""Lincoln, (WY)""",382.8,"378.1 - 427.2 (645)"
56025,"""Natrona, (WY)""",391.9,"378.1 - 427.2 (645)"
56029,"""Park, (WY)""",353.7,"93.8 - 378.0 (645)"
56035,"""Sublette, (WY)""",344.5,"93.8 - 378.0 (645)"
56037,"""Sweetwater, (WY)""",452.7,"427.3 - 473.8 (643)"
56039,"""Teton, (WY)""",203.3,"93.8 - 378.0 (645)"
56041,"""Uinta, (WY)""",417.8,"378.1 - 427.2 (645)"
56043,"""Washakie, (WY)""",386.8,"378.1 - 427.2 (645)"
22031,"""De Soto, (LA)""",501.3,"473.9 - 541.2 (647)"
48001,"""Anderson, (TX)""",666.4,"541.3 - 1028.0 (641)"
48005,"""Angelina, (TX)""",593.7,"541.3 - 1028.0 (641)"
48007,"""Aransas, (TX)""",454.7,"427.3 - 473.8 (643)"
48013,"""Atascosa, (TX)""",454.6,"427.3 - 473.8 (643)"
48015,"""Austin, (TX)""",449.9,"427.3 - 473.8 (643)"
48019,"""Bandera, (TX)""",408.2,"378.1 - 427.2 (645)"
48021,"""Bastrop, (TX)""",435.4,"427.3 - 473.8 (643)"
48025,"""Bee, (TX)""",531.6,"473.9 - 541.2 (647)"
48027,"""Bell, (TX)""",400.8,"378.1 - 427.2 (645)"
48029,"""Bexar, (TX)""",438.7,"427.3 - 473.8 (643)"
48031,"""Blanco, (TX)""",358,"93.8 - 378.0 (645)"
48035,"""Bosque, (TX)""",498.5,"473.9 - 541.2 (647)"
48039,"""Brazoria, (TX)""",445.5,"427.3 - 473.8 (643)"
48041,"""Brazos, (TX)""",401.5,"378.1 - 427.2 (645)"
48043,"""Brewster, (TX)""",330,"93.8 - 378.0 (645)"
48047,"""Brooks, (TX)""",469.1,"427.3 - 473.8 (643)"
48049,"""Brown, (TX)""",506,"473.9 - 541.2 (647)"
48051,"""Burleson, (TX)""",698.6,"541.3 - 1028.0 (641)"
48053,"""Burnet, (TX)""",374.7,"93.8 - 378.0 (645)"
48055,"""Caldwell, (TX)""",436.5,"427.3 - 473.8 (643)"
48057,"""Calhoun, (TX)""",461.1,"427.3 - 473.8 (643)"
48061,"""Cameron, (TX)""",374.3,"93.8 - 378.0 (645)"
48071,"""Chambers, (TX)""",504.4,"473.9 - 541.2 (647)"
48073,"""Cherokee, (TX)""",590.6,"541.3 - 1028.0 (641)"
48081,"""Coke, (TX)""",450.6,"427.3 - 473.8 (643)"
48083,"""Coleman, (TX)""",522.1,"473.9 - 541.2 (647)"
48089,"""Colorado, (TX)""",505.1,"473.9 - 541.2 (647)"
48091,"""Comal, (TX)""",408.3,"378.1 - 427.2 (645)"
48093,"""Comanche, (TX)""",496.7,"473.9 - 541.2 (647)"
48095,"""Concho, (TX)""",442.8,"427.3 - 473.8 (643)"
48099,"""Coryell, (TX)""",478.5,"473.9 - 541.2 (647)"
48103,"""Crane, (TX)""",473.6,"427.3 - 473.8 (643)"
48105,"""Crockett, (TX)""",553.1,"541.3 - 1028.0 (641)"
48109,"""Culberson, (TX)""",433.6,"427.3 - 473.8 (643)"
48123,"""DeWitt, (TX)""",474.6,"473.9 - 541.2 (647)"
48127,"""Dimmit, (TX)""",401.3,"378.1 - 427.2 (645)"
48131,"""Duval, (TX)""",486.2,"473.9 - 541.2 (647)"
48135,"""Ector, (TX)""",520.6,"473.9 - 541.2 (647)"
48137,"""Edwards, (TX)""",424.6,"378.1 - 427.2 (645)"
48141,"""El Paso, (TX)""",367,"93.8 - 378.0 (645)"
48145,"""Falls, (TX)""",501.5,"473.9 - 541.2 (647)"
48149,"""Fayette, (TX)""",479.4,"473.9 - 541.2 (647)"
48157,"""Fort Bend, (TX)""",327.2,"93.8 - 378.0 (645)"
48161,"""Freestone, (TX)""",497.8,"473.9 - 541.2 (647)"
48163,"""Frio, (TX)""",506.2,"473.9 - 541.2 (647)"
48167,"""Galveston, (TX)""",464.1,"427.3 - 473.8 (643)"
48171,"""Gillespie, (TX)""",371,"93.8 - 378.0 (645)"
48173,"""Glasscock, (TX)""",419.8,"378.1 - 427.2 (645)"
48175,"""Goliad, (TX)""",469.1,"427.3 - 473.8 (643)"
48177,"""Gonzales, (TX)""",438.3,"427.3 - 473.8 (643)"
48185,"""Grimes, (TX)""",462.4,"427.3 - 473.8 (643)"
48187,"""Guadalupe, (TX)""",393.1,"378.1 - 427.2 (645)"
48193,"""Hamilton, (TX)""",467.6,"427.3 - 473.8 (643)"
48199,"""Hardin, (TX)""",569.7,"541.3 - 1028.0 (641)"
48201,"""Harris, (TX)""",417.2,"378.1 - 427.2 (645)"
48209,"""Hays, (TX)""",351.2,"93.8 - 378.0 (645)"
48215,"""Hidalgo, (TX)""",349.3,"93.8 - 378.0 (645)"
